textID	ID(seq)		word	lemma	PoS
-----	-----		-----	-----	-----

124	2511368574	31	31	m$
124	2511368575	de	de	e
124	2511368576	Julio	julio	nms    
124	2511368577	@	@	n
124	2511368578	@	@	n
124	2511368579	@	@	n
124	2511368580	@	@	n
124	2511368581	@	@	n
124	2511368582	@	@	n
124	2511368583	@	@	n
124	2511368584	@	@	n
124	2511368585	@	@	n
124	2511368586	@	@	n
124	2511368587	entrega	entrega	nfs    
124	2511368588	de	de	e
124	2511368589	material	material	nms    
124	2511368590	.	$.	y
124	2511368591	Miércoles	miércoles	nmp    
124	2511368592	31	31	m$
124	2511368593	de	de	e
124	2511368594	Julio	julio	nms    
124	2511368595	:	$:	y
124	2511368596	Asamblea	asamblea	nfs    
124	2511368597	de	de	e
124	2511368598	dos	dos	mc
124	2511368599	horas	hora	nfp    
124	2511368600	por	por	e
124	2511368601	turno	turno	nms    
124	2511368602	para	para	e
124	2511368603	las	la	ld-fp
124	2511368604	escuelas	escuela	nfp    
124	2511368605	nocturnas	nocturno	jfp    
124	2511368606	.	$.	y
124	2511368607	Jueves	jueves	nms    
124	2511368608	1	1	m$
124	2511368609	de	de	e
124	2511368610	Agosto	agosto	nms    
124	2511368611	:	$:	y
124	2511368612	Asamblea	asamblea	nfs    
124	2511368613	de	de	e
124	2511368614	dos	dos	mc
124	2511368615	horas	hora	nfp    
124	2511368616	por	por	e
124	2511368617	turno	turno	nms    
124	2511368618	en	en	e
124	2511368619	las	la	ld-fp
124	2511368620	Escuelas	escuela	nfp    
124	2511368621	de	de	e
124	2511368622	los	el	ld-mp
124	2511368623	Turnos	turnos	o
124	2511368624	Mañana	mañana	o
124	2511368625	y	y	cc
124	2511368626	Tarde	tarde	r
124	2511368627	.	$.	y
124	2511368628	Jueves	jueves	nms    
124	2511368629	1	1	m$
124	2511368630	de	de	e
124	2511368631	Agosto	agosto	nms    
124	2511368632	a	a	e
124	2511368633	las	la	ld-fp
124	2511368634	18:00	18:00	m$
124	2511368635	:	$:	y
124	2511368636	Asamblea	asamblea	o
124	2511368637	Resolutiva	resolutiva	o
124	2511368638	en	en	e
124	2511368639	la	la	ld-fs
124	2511368640	Seccional	seccional	j
124	2511368641	.	$.	y
124	2511368642	Viernes	viernes	nms    
124	2511368643	2	2	m$
124	2511368644	de	de	e
124	2511368645	Agosto	agosto	nms    
124	2511368646	a	a	e
124	2511368647	las	la	ld-fp
124	2511368648	09:00	09:00	m$
124	2511368649	:	$:	y
124	2511368650	Congreso	congreso	o
124	2511368651	Provincial	provincial	o
124	2511368652	en	en	e
124	2511368653	Colón	colón	o
124	2511368654	,	$,	y
124	2511368655	donde	dónde	r
124	2511368656	se	se	po
124	2511368657	tratará	tratar	vif-3s
124	2511368658	la	la	ld-fs
124	2511368659	contra	contra	e
124	2511368660	propuesta	propuesta	nfs    
124	2511368661	realizada	realizar	vps-fs
124	2511368662	por	por	e
124	2511368663	el	el	ld-ms
124	2511368664	Gobierno	gobierno	nms    
124	2511368665	de	de	e
124	2511368666	la	la	ld-fs
124	2511368667	Provincia	provincia	o
124	2511368668	,	$,	y
124	2511368669	que	que	cs
124	2511368670	llevó	llevar	vis-3s
124	2511368671	a	a	e
124	2511368672	la	la	ld-fs
124	2511368673	suspensión	suspensión	nfs    
124	2511368674	de	de	e
124	2511368675	el	el	ld-ms
